threshold_method,patch_size,cell_sampling,tau,n_correct,n_total,accuracy,delta_acc,n_failure_recovered,n_regression
adaptive_mean,64,mean,6,5,138,0.0362,0.0217,3,0
adaptive_mean,96,mean,6,5,138,0.0362,0.0217,3,0
min_max_05,32,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
otsu,64,centre_pixel,6,4,138,0.0290,0.0145,2,0
otsu,32,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
adaptive_mean,32,mean,6,4,138,0.0290,0.0145,2,0
adaptive_mean,64,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
adaptive_mean,32,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
otsu,96,centre_pixel,6,4,138,0.0290,0.0145,2,0
otsu,64,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
min_max_05,96,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
min_max_05,64,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
otsu,96,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
adaptive_mean,96,gaussian_weighted,6,4,138,0.0290,0.0145,2,0
otsu,32,centre_pixel,6,3,138,0.0217,0.0072,2,1
min_max_05,96,mean,6,3,138,0.0217,0.0072,1,0
border_calibrated,96,gaussian_weighted,6,3,138,0.0217,0.0072,1,0
border_calibrated,64,gaussian_weighted,6,3,138,0.0217,0.0072,1,0
otsu,96,mean,6,3,138,0.0217,0.0072,2,1
min_max_05,96,centre_pixel,6,3,138,0.0217,0.0072,1,0
otsu,64,mean,6,3,138,0.0217,0.0072,2,1
min_max_05,32,centre_pixel,6,3,138,0.0217,0.0072,2,1
min_max_05,64,mean,6,3,138,0.0217,0.0072,1,0
otsu,32,mean,6,3,138,0.0217,0.0072,2,1
min_max_05,64,centre_pixel,6,3,138,0.0217,0.0072,1,0
min_max_05,32,mean,6,2,138,0.0145,0.0000,0,0
adaptive_mean,32,centre_pixel,6,2,138,0.0145,0.0000,1,1
adaptive_mean,96,centre_pixel,6,2,138,0.0145,0.0000,1,1
border_calibrated,32,gaussian_weighted,6,2,138,0.0145,0.0000,1,1
adaptive_mean,64,centre_pixel,6,2,138,0.0145,0.0000,1,1
border_calibrated,96,centre_pixel,6,2,138,0.0145,0.0000,1,1
border_calibrated,96,mean,6,2,138,0.0145,0.0000,1,1
border_calibrated,64,mean,6,2,138,0.0145,0.0000,1,1
border_calibrated,64,centre_pixel,6,2,138,0.0145,0.0000,1,1
border_calibrated,32,mean,6,2,138,0.0145,0.0000,1,1
border_calibrated,32,centre_pixel,6,2,138,0.0145,0.0000,1,1
otsu,32,mean,5,1,138,0.0072,-0.0072,1,2
min_max_05,64,mean,4,0,138,0.0000,-0.0145,0,2
min_max_05,64,mean,5,0,138,0.0000,-0.0145,0,2
min_max_05,32,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
min_max_05,32,centre_pixel,5,0,138,0.0000,-0.0145,0,2
min_max_05,32,mean,4,0,138,0.0000,-0.0145,0,2
min_max_05,32,mean,5,0,138,0.0000,-0.0145,0,2
min_max_05,32,centre_pixel,4,0,138,0.0000,-0.0145,0,2
otsu,64,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
otsu,64,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
otsu,64,centre_pixel,5,0,138,0.0000,-0.0145,0,2
otsu,64,centre_pixel,4,0,138,0.0000,-0.0145,0,2
otsu,64,mean,4,0,138,0.0000,-0.0145,0,2
otsu,64,mean,5,0,138,0.0000,-0.0145,0,2
otsu,32,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
otsu,32,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
otsu,32,centre_pixel,4,0,138,0.0000,-0.0145,0,2
otsu,32,centre_pixel,5,0,138,0.0000,-0.0145,0,2
min_max_05,64,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
min_max_05,96,centre_pixel,4,0,138,0.0000,-0.0145,0,2
min_max_05,96,centre_pixel,5,0,138,0.0000,-0.0145,0,2
min_max_05,96,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
min_max_05,96,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
otsu,32,mean,4,0,138,0.0000,-0.0145,0,2
min_max_05,64,centre_pixel,4,0,138,0.0000,-0.0145,0,2
min_max_05,64,centre_pixel,5,0,138,0.0000,-0.0145,0,2
min_max_05,64,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
min_max_05,96,mean,5,0,138,0.0000,-0.0145,0,2
min_max_05,96,mean,4,0,138,0.0000,-0.0145,0,2
min_max_05,32,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
otsu,96,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,32,mean,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,32,centre_pixel,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,32,centre_pixel,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,32,mean,4,0,138,0.0000,-0.0145,0,2
otsu,96,centre_pixel,4,0,138,0.0000,-0.0145,0,2
otsu,96,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
otsu,96,centre_pixel,5,0,138,0.0000,-0.0145,0,2
otsu,96,mean,5,0,138,0.0000,-0.0145,0,2
otsu,96,mean,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,96,centre_pixel,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,96,mean,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,96,mean,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,64,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,64,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,64,mean,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,64,centre_pixel,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,64,centre_pixel,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,32,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,32,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,64,mean,4,0,138,0.0000,-0.0145,0,2
border_calibrated,32,mean,4,0,138,0.0000,-0.0145,0,2
border_calibrated,32,mean,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,96,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
adaptive_mean,96,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
adaptive_mean,96,centre_pixel,5,0,138,0.0000,-0.0145,0,2
border_calibrated,64,mean,5,0,138,0.0000,-0.0145,0,2
border_calibrated,64,mean,4,0,138,0.0000,-0.0145,0,2
border_calibrated,32,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
border_calibrated,32,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
border_calibrated,32,centre_pixel,4,0,138,0.0000,-0.0145,0,2
border_calibrated,32,centre_pixel,5,0,138,0.0000,-0.0145,0,2
border_calibrated,64,centre_pixel,5,0,138,0.0000,-0.0145,0,2
border_calibrated,64,centre_pixel,4,0,138,0.0000,-0.0145,0,2
border_calibrated,96,mean,4,0,138,0.0000,-0.0145,0,2
border_calibrated,64,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
border_calibrated,64,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
border_calibrated,96,mean,5,0,138,0.0000,-0.0145,0,2
border_calibrated,96,centre_pixel,5,0,138,0.0000,-0.0145,0,2
border_calibrated,96,centre_pixel,4,0,138,0.0000,-0.0145,0,2
border_calibrated,96,gaussian_weighted,4,0,138,0.0000,-0.0145,0,2
border_calibrated,96,gaussian_weighted,5,0,138,0.0000,-0.0145,0,2
